Page path and screen class,Sessions,Engaged sessions,Engagement rate,Average session duration
/lgbtq/common-ally-questions,14036,7999,0.5698917070390425,127.43825265581363
/lgbtq/symbols-ace-spectrum,8480,5585,0.6586084905660378,62.766497658608486
/lgbtq/pros-and-cons-being-ally,5093,3281,0.6442175535048105,138.90546873355586
/lgbtq,4441,3687,0.8302184192749381,151.89127149876154
/lgbtq/terminology-list,3359,2422,0.721047931,104.6203227978565
/lgbtq/frequently-asked-questions-faq,2949,1965,0.6663275686673449,158.74020125093253
/lgbtq/upcoming-events,1185,918,0.7746835443037975,119.60107051729958
/lgbtq/ohio-legal-name-change-process,1089,749,0.6877869605142333,139.7055004848485
/housing/lgbtq-living-learning-community,814,721,0.8857493857493858,103.14653542874694
/lgbtq/safe-space-and-other-trainings,789,624,0.7908745247148289,167.84568263371355
/colleges/ph/lgbtq-public-health-graduate-certificate/,721,623,0.8640776699029126,119.90287231345353
/lgbtq/center-staff,718,648,0.9025069637883009,102.98207320752088
/lgbtq/lgbtq-programs-and-events,655,606,0.9251908396946565,70.61832960610687
/lgbtq/trans-ksu,624,530,0.8493589743589743,121.50658335897435
/lgbtq/contact-us,588,500,0.8503401360544217,152.76371400850343
/lgbtq/lgbtq-community-resources,533,393,0.7373358348968105,154.5482492532833
/lgbtq/other-ace-identities,521,327,0.6276391554702495,87.41973338771594
/lgbtq/financial-support,518,410,0.7915057915057915,187.7819743861004
/lgbtq/quest-mentorship-program,479,332,0.6931106471816284,265.5620853131524
/lgbtq/student-resources,447,415,0.9284116331096197,36.13357906711409
/lgbtq/social-groups,416,345,0.8293269230769231,127.59949320673078
/lgbtq/emailing-professors,394,261,0.6624365482233503,175.38880837055837
/lgbtq/hiv-and-sti-testing-centers,386,286,0.7409326424870466,157.26949423056996
/lgbtq/transgender-resource-guide,359,264,0.7353760445682451,111.76198842339834
/lgbtq/discover-lgbtq-kent-state,352,318,0.9034090909090909,91.72148860511363
/lgbtq/ken-ditlevson-0,349,297,0.8510028653295129,167.92767555014328
/lgbtq/chosen-name-pronouns,346,282,0.815028902,141.6786363410405
/lgbtq/lgbtq-assistance-and-resources,344,294,0.8546511627906976,82.49494886627907
/lgbtq/hivsti-testing-prep-resources,339,274,0.8082595870206489,163.31663324188793
/lgbtq/rainbow-run-5k,313,223,0.7124600638977636,85.07556805
/publichealth/lgbtq-community-needs-assessment,237,174,0.7341772151898734,85.64236381856539
/csi/lgbtq-center,223,190,0.852017937,71.61597799
/lgbtq/event/holding-space,221,192,0.8687782805429864,30.941210036199095
/lgbtq/interns,214,180,0.8411214953271028,142.33582372897197
/lgbtq-studies,210,174,0.8285714285714286,124.75378975238095
/lgbtq/how-change-your-chosen-name,195,153,0.7846153846153846,152.83532613333333
/lgbtq/being-ally,194,165,0.8505154639175257,92.05979863402062
/lgbtq/semester-kick-offs,194,165,0.8505154639175257,53.143093438144334
/lgbtq/lgbtq-center-action-team-lsac,188,165,0.8776595744680851,205.03362790425533
/lgbtq/rights-ohio,184,129,0.7010869565217391,147.08559657065217
/lgbtq/flashes-pride-coming-out-poster,179,147,0.8212290502793296,89.95812918994413
/lgbtq/history-center,171,142,0.8304093567251462,118.64587485380119
/lgbtq/lavender-graduation-award-winners-keynote-speakers,171,131,0.7660818713450293,185.09107043274855
/lgbtq/students,148,124,0.8378378378378378,63.023250189189184
/lgbtq/historymonth,146,112,0.7671232876712328,174.84278354109588
/lgbtq/external-resources,143,111,0.7762237762237763,110.70378674825174
/lgbtq/how-be-ally,142,111,0.7816901408450704,128.04176904929577
/lgbtq/basic-information,139,118,0.8489208633093526,58.21540308633093
/alumni/event/lgbtq-student-and-alumni-tailgayte,127,90,0.7086614173228346,102.28092368503935
/lgbtq/get-involved,122,96,0.7868852459016393,38.88088793442623
/lgbtq/counseling-services,117,90,0.7692307692307693,63.429866547008544
/lgbtq/meghan-schwind,117,89,0.7606837606837606,125.79121732478633
/lgbtq/faculty-and-staff,114,93,0.8157894736842105,83.86029844736844
/lgbtq/lgbtq-academic-programs,113,93,0.8230088495575221,65.67901361061946
/lgbtq/center-wishlist,109,83,0.7614678899082569,223.9983086972477
/cpm/lgbtq-student-center,105,77,0.7333333333333333,104.2223334952381
/lgbtq/event/transgender-day-visibility-0,101,81,0.801980198,105.80590957425743
/lgbtq/student-orgs-other-centers,100,76,0.76,61.05089936
/lgbtq/lgbtq-student-organizations-kent-state,99,81,0.8181818181818182,195.48412909090908
/lgbtq/open-and-affirming-religious-organizations,96,79,0.8229166666666666,140.04720341666666
/stark/lgbtq-resource-center,95,77,0.8105263157894737,136.07736998947368
/lgbtq/facultystaff-resources,91,73,0.8021978021978022,89.87342754945054
/lgbtq/graduation-name-concerns,90,66,0.7333333333333333,93.10441174444445
/lgbtq/middle-high-school-students,87,63,0.7241379310344828,157.14263005747125
/lgbtq/profile/joshua-talbott,84,58,0.6904761904761905,128.78004607142856
/lgbtq/lgbtq-resources-guide,77,67,0.8701298701298701,190.32288537662336
/lgbtq/support-groups,75,54,0.72,167.23390230666666
/lgbtq/legal-services,72,51,0.7083333333333334,79.38296508333333
/alumni/lgbtq-alumni-chapter,70,50,0.7142857142857143,185.5568469857143
/lgbtq/event/2024-lavender-graduation,70,62,0.8857142857142857,173.47178492857142
/lgbtq/alumni-and-community,65,45,0.6923076923076923,42.405405123076925
/lgbtq/past-flashes-pride-posters,63,43,0.6825396825396826,183.3838820952381
/lgbtq/first-phase-1971-1986,60,35,0.5833333333333334,197.53473466666668
